"index","SEM 1 SGPA","SEM 1 KT","SEM 2 SGPA","SEM 2 KT","SEM 3 SGPA","SEM 3 KT","SEM 4 SGPA","SEM 4 KT","SEM 5 SGPA","SEM 5 KT","SEM 6 SGPA","SEM 6 KT","SEM 7 SGPA","SEM 7 KT","SEM 8 SGPA","Hours_On_Assignment","Hours_On_Studies","Travel_Time","Attendance","Internet_Availability","Internet_Speed","Mode_Of_Transportation","2_hrs_lect","Submissions","5_hrs_lect","5_hrs_pracs","Coaching_classes","Teacher's Feedback","Label","Scocial_Skills","Average pointer","Cleaned_Feedback"
"200","5.14","0","5.2","2","5.6","1.0","5.9","0.0","5.7","0","5.8","0.0","5.9","0","5.7","0","0","2","3","1","0","1","0","0","0","0","0","Responsible","1","1","5.6175","respons"
"201","6.3","0","6.2","0","6.8","0.0","6.7","0.0","6.2","0","6.8","0.0","6.5","0","6.1","0","0","2","2","1","0","1","1","1","0","0","0","Good but can be better","1","1","6.45","good better"
"202","9.48","0","9.69","0","8.89","0.0","8.9","0.0","8.7","0","9.2","0.0","9.1","0","9.4","1","0","3","1","1","0","2","0","1","1","0","0","Good leadership skills","1","1","9.17","good leadership skill"
"203","8.89","0","7.19","0","6.54","0.0","6.9","0.0","7.5","0","7.5","0.0","7.1","0","7.0","0","0","3","3","1","0","3","1","0","1","0","0","Excellent performance","1","0","7.3275","excel perform"
"204","8.2","0","8.5","0","8.3","0.0","7.9","0.0","7.5","0","7.8","0.0","7.7","0","7.6","0","0","1","2","1","0","1","0","1","0","1","0","Excellent performance","1","0","7.9375","excel perform"
"205","4.0","2","4.5","2","4.6","1.0","4.8","1.0","4.76","0","4.98","0.0","4.76","0","3.86","0","0","1","4","1","0","1","0","1","0","0","0","Not attentive","0","0","4.5325","attent"
"206","7.79","0","8.77","0","7.91","0.0","8.0","0.0","8.2","0","8.6","0.0","8.5","0","8.4","0","0","3","3","1","0","3","0","1","1","1","0","Willingness to Put Forth Effort","1","0","8.27125","willing put forth effort"
"207","7.04","0","7.0","0","7.38","0.0","7.6","0.0","7.5","0","7.1","0.0","7.2","0","7.3","1","1","2","2","1","0","1","1","1","1","1","1","Respectful to Authority and Others","1","0","7.265","respect author other"
"208","7.56","0","8.41","0","9.46","0.0","9.5","0.0","8.9","0","8.4","0.0","8.9","0","8.8","0","0","3","1","1","0","1","1","1","1","1","0","Good but can be better","1","0","8.74125","good better"
"209","4.2","2","3.2","2","3.5","2.0","3.8","0.0","3.94","0","3.97","0.0","4.9","0","4.1","0","0","1","5","1","0","2","0","1","0","0","0","Bunk lectuer","0","0","3.95125","bunk lectuer"
"210","9.21","0","9.13","0","5.9","0.0","8.9","0.0","8.2","0","6.7","0.0","8.3","0","6.8","0","1","3","1","1","0","1","1","1","1","1","0","Solid Social and Emotional Skills","1","1","7.8925","solid social emot skill"
"211","4.87","2","4.54","3","4.56","1.0","4.32","0.0","4.78","0","4.88","0.0","3.78","0","4.63","0","0","1","3","1","0","1","0","0","0","0","1","Disappointed performance","0","0","4.545","disappoint perform"
"212","7.8","0","7.2","0","7.8","0.0","7.2","0.0","7.5","0","7.4","0.0","7.6","0","7.2","0","1","3","2","1","0","2","1","1","0","0","0","Excellent performance","1","0","7.4625","excel perform"
"213","5.5","0","6.0","0","6.1","0.0","6.2","0.0","6.1","0","5.9","0.0","6.0","0","6.2","0","0","3","5","1","0","3","0","1","1","1","0","Excellent performance","1","0","6.0","excel perform"
"214","6.53","0","6.81","0","7.14","0.0","7.86","0.0","7.77","0","7.3","0.0","8.0","0","8.1","0","0","2","3","1","0","2","0","1","1","0","0","Good but can be better","1","0","7.43875","good better"
"215","9.21","0","10.0","0","9.35","0.0","9.0","0.0","5.9","0","8.6","0.0","5.8","0","6.07","0","1","3","2","1","0","3","1","1","0","1","0","Eagerness to Learn","1","0","7.99125","eager learn"
"216","6.91","0","9.04","0","7.8","0.0","7.39","0.0","6.0","0","6.7","0.0","7.7","0","5.6","0","0","3","3","1","0","3","0","1","1","1","0","Excellent performance","1","1","7.1425","excel perform"
"217","3.9","2","3.5","1","4.1","2.0","4.2","2.0","4.99","0","3.6","0.0","4.99","0","4.8","0","0","2","5","1","0","1","0","1","0","0","0","Needs improvement","0","0","4.26","need improv"
"218","8.32","0","8.16","0","7.41","0.0","7.6","0.0","7.5","0","8.9","0.0","7.2","0","5.6","0","0","3","3","1","0","2","1","1","0","0","0","Respectful to Authority and Others","1","0","7.58625","respect author other"
"219","8.3","0","8.12","0","9.35","0.0","7.3","0.0","9.5","0","8.33","0.0","9.0","0","8.1","1","0","3","3","1","0","3","1","0","0","1","1","Eagerness to Learn","1","1","8.5","eager learn"
"220","4.27","1","4.19","1","4.17","1.0","4.27","3.0","4.56","0","4.67","0.0","4.89","0","4.72","0","0","2","5","1","0","1","0","1","0","0","1","Not attentive","0","0","4.4675","attent"
"221","6.3","2","6.2","1","6.7","1.0","6.2","0.0","7.5","0","8.4","0.0","8.41","0","6.82","0","0","2","5","1","0","1","0","1","0","1","0","Eagerness to Learn","1","0","7.06625","eager learn"
"222","8.43","0","6.3","0","5.5","0.0","8.1","0.0","8.6","0","6.8","0.0","7.2","0","5.2","1","0","3","2","1","0","1","0","1","0","1","0","Good leadership skills","1","1","7.01625","good leadership skill"
"223","7.89","1","8.35","2","6.3","1.0","5.9","0.0","8.3","0","7.4","","7.93","0","9.0","0","0","3","1","1","0","2","1","0","1","0","0","Respectful to Authority and Others","1","0","7.63375","respect author other"
"224","9.05","0","6.3","0","7.41","0.0","7.6","0.0","9.2","0","6.1","","6.1","0","6.8","0","0","3","2","1","0","2","0","1","1","0","0","Willingness to Put Forth Effort","1","0","7.32","willing put forth effort"
"225","6.2","1","6.2","1","6.3","2.0","5.6","0.0","5.9","0","6.0","0.0","6.8","0","6.0","0","0","2","2","1","0","1","0","1","1","1","0","Solid Social and Emotional Skills","1","0","6.125","solid social emot skill"
